brazo,modelo,base,semilla,timeloss_prom,espera_prom,cola_prom,cola_max,paradas_prom,throughput,co2_prom,nox_prom,recompensa_decision,cambios_fase,no_terminados,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,ret_retraso,ret_colas,ret_spill,vehiculos,recompensa,decisiones
dqn_s4042,dqn,4042,1011,127.54,59.94,39.61,123,4.249,2852,391.2,137.1,-22.178,399,0,289.24,206.28,246.87,6.812,0.222,0.0,0,0,31,37,-482124.2,-247589.76,-489716.2,3620,-49145.4,1978
dqn_s4042,dqn,4042,1012,119.99,56.26,38.04,122,3.995,2900,382.2,133.7,-21.322,388,0,275.28,192.63,220.84,6.354,0.239,0.0,0,0,31,37,-452735.0,-232757.78,-458983.0,3620,-46182.8,1936
dqn_s4042,dqn,4042,1013,124.16,57.16,38.33,114,4.161,2881,387.6,135.5,-21.39,402,0,284.41,201.39,234.44,6.676,0.216,0.0006,2,1,34,37,-467048.82,-235374.64,-472088.82,3620,-46716.1,1945
dqn_s4042,dqn,4042,1014,122.6,56.23,37.83,109,4.11,2891,385.1,134.6,-21.143,398,0,280.18,197.35,228.69,6.532,0.214,0.0014,6,2,34,37,-461593.5,-232107.42,-467841.5,3620,-46048.8,1941
dqn_s4042,dqn,4042,1015,125.77,58.09,38.6,120,4.142,2873,388.7,136.0,-21.617,405,0,286.69,203.57,240.1,6.641,0.215,0.0008,3,1,34,37,-474276.6,-240072.95,-481114.6,3620,-47643.7,1963
dqn_s4042,dqn,4042,1016,127.37,61.75,40.82,130,4.078,2854,392.5,137.7,-23.097,399,0,286.76,203.84,239.17,6.426,0.227,0.0042,15,2,37,38,-485202.31,-257771.25,-494828.31,3620,-51136.8,1977
dqn_s4042,dqn,4042,1017,121.86,55.97,37.88,118,4.076,2900,383.5,134.0,-21.051,402,0,279.57,196.61,230.13,6.502,0.209,0.0,0,0,31,37,-458036.64,-229883.7,-463186.64,3620,-45554.5,1926
dqn_s4042,dqn,4042,1018,121.58,55.77,37.64,108,4.037,2887,383.1,133.9,-21.12,396,0,278.81,195.93,226.78,6.435,0.23,0.0,0,0,31,37,-459196.72,-231413.04,-465432.72,3620,-45872.3,1937
dqn_s4042,dqn,4042,1019,122.05,56.3,37.98,117,3.992,2890,384.2,134.3,-21.214,394,0,279.79,196.83,230.74,6.398,0.225,0.0,0,0,31,37,-459486.35,-232114.99,-465810.35,3620,-46077.2,1939
dqn_s4042,dqn,4042,1020,126.17,60.01,39.91,127,4.112,2860,390.6,136.8,-22.46,399,0,284.45,201.5,236.73,6.488,0.228,0.0,0,0,31,37,-477852.24,-248951.49,-485922.24,3620,-49412.1,1964
